"Name","googleScholarId","title","author","journal","number","cites","year","cid","pubid"
"Mark Bevir","s5N2vJUAAAAJ","Ideas in History","M Bevir","History Of The Human Sciences","17 (1), 107-113",5,2004,16828634839152451584,"IaI1MmNe2tcC"
"Mark Bevir","s5N2vJUAAAAJ","Taking Holism seriously: A reply to critics","M Bevir","Philosophical Books","42, 187-195",5,2001,4.03629894560407e+38,"U4n9YNQMCAIC"
"Mark Bevir","s5N2vJUAAAAJ","Humanism in and against The Order of Things","M Bevir","Configurations","7 (2), 191-209",5,1999,16563551750057564160,"AeM5kdmBKVwC"
"Mark Bevir","s5N2vJUAAAAJ","Comparative perspectives on the theory and practice of multiculturalism: lessons from the commonwealth","RT Ashcroft, M Bevir","University Of California Press",NA,4,2019,1.63146446795661e+38,"SFU-2amZ4xQC"
"Mark Bevir","s5N2vJUAAAAJ","Decentring European Governance","M Bevir, R Phillips","Routledge",NA,4,2019,6.42431713189096e+37,"wE8AsS3ykUMC"
"Mark Bevir","s5N2vJUAAAAJ","Situated agency: A postfoundational alternative to autonomy","M Bevir","M. Bevir. Finite But Unbounded: New Approaches In Philosphical Anthropology …",NA,4,2017,11790697186010402816,"-ZoC36zw86wC"
"Mark Bevir","s5N2vJUAAAAJ","Joined-up security: A genealogy","M Bevir","Governing Borders And Security: The Politics Of Connectivity And Dispersal","32",4,2014,2.87716464706386e+37,"8p8iYwVyaVcC"
"Mark Bevir","s5N2vJUAAAAJ","Democratic Governance: A Response to Commentaries","M Bevir","Administrative Theory And Praxis","33 (3), 478-485",4,2011,15497739242748575744,"SGW5VrABaM0C"
"Mark Bevir","s5N2vJUAAAAJ","Juridification and Democracy","M Bevir","Parliamentary Affairs","62 (3), 493-498",4,2009,13792180133471932416,"7BrZ7Jt4UNcC"
"Mark Bevir","s5N2vJUAAAAJ","The World Economic Forum","R Wilkinson, M Bevir","The Encyclopedia Of Governance",NA,4,2007,11381697403817664512,"vkDViGfkvYEC"
"Mark Bevir","s5N2vJUAAAAJ","The subject and historiography","M Bevir","Giornale Di Metafisica (Genoa)","22, 5-28",4,2000,1.13926673549787e+37,"6yz0xqPARnAC"
"Mark Bevir","s5N2vJUAAAAJ","Universality and particularity in the philosophy of EB Bax and RG Collingwood","M Bevir","History Of The Human Sciences","12 (3), 55-69",4,1999,1.2100789918846e+39,"PaBasH6fAo0C"
"Mark Bevir","s5N2vJUAAAAJ","A Theosophist in India","M Bevir","Imperial Objects: Essays On Victorian Women's Emigration And The …",NA,4,1998,2829393576635454464,"oYVvnHz_XzQC"
"Mark Bevir","s5N2vJUAAAAJ","The Formation of the All-India Home Rule League","M Bevir","The Indian Journal Of Political Science","52 (3), 341-356",4,1991,4800283822417977344,"ndLnGcHYRF0C"
"Mark Bevir","s5N2vJUAAAAJ","Theosophy, cultural nationalism, and home rule","M Bevir","Imagining The East: The Early Theosophical Society","289-310",3,2020,6362865207795353600,"Q17yWvk9gpwC"
"Mark Bevir","s5N2vJUAAAAJ","Liberal democracy, nationalism and culture: multiculturalism and Scottish independence","RT Ashcroft, M Bevir","Critical Review Of International Social And Political Philosophy","21 (1), 65-86",3,2018,5651719460224913408,"nbnL2fqDbzcC"
"Mark Bevir","s5N2vJUAAAAJ","Decentring health policy: Traditions, narratives, dilemmas","M Bevir, J Waring","Decentring Health Policy: Learning From British Experiences In Healthcare …",NA,3,2018,18276591567679858688,"uqZYSrDi9MMC"
"Mark Bevir","s5N2vJUAAAAJ","Governance jenseits des Neoliberalismus in Großbritannien","M Bevir, K McKee","Der Staat Des Neoliberalismus","207-236",3,2016,11620399798848407552,"-qpA3cGbmHsC"
"Mark Bevir","s5N2vJUAAAAJ","What Is Radical Historicism?","M Bevir","Philosophy Of The Social Sciences","45 (2), 58-265",3,2015,9198184077906221056,"0dtNEdnCFDAC"
"Mark Bevir","s5N2vJUAAAAJ","The New Governance and the Public Servant, cc. 1979–2010","M Bevir","Paper Delivered At The Ecpr Joint Sessions.",NA,3,2012,1.28428545594527e+38,"1DAnfT_YoJgC"
"Mark Bevir","s5N2vJUAAAAJ","Mothering India","M Bevir","History Today","56 (2), 19",3,2006,16083581261128413184,"ZqE1mSdD_DYC"
"Mark Bevir","s5N2vJUAAAAJ","Graham Wallas Today","M Bevir","Political Quarterly","68, 284-292",3,1997,10347187014506412032,"cK4Rrx0J3m0C"
"Mark Bevir","s5N2vJUAAAAJ","Decentring counter-terrorism","M Bevir, KE Brown","International Journal Of Law, Crime And Justice","100369",2,2019,3790483341186016768,"9w9GTvUEN2YC"
"Mark Bevir","s5N2vJUAAAAJ","Wittgenstein and normative inquiry","M Bevir, A Gališanka","Brill",NA,2,2016,2.43448182843561e+37,"puFLaqDw8dcC"
"Mark Bevir","s5N2vJUAAAAJ","Educational governance in England","S Ball, C Junemann","Rethinking Governance: Ruling, Rationalities And Resistance. London: Routledge",NA,2,2016,16649676549351714816,"DoBzxrgsGIIC"
"Mark Bevir","s5N2vJUAAAAJ","Culture Change in a Professional Sports Team: Shaping Environmental Contexts and Regulating Power: A Commentary","M Bevir","International Journal Of Sports Science And Coaching","8 (2), 291-295",2,2013,9300651038012157952,"-uzm3Y7AvW0C"
"Mark Bevir","s5N2vJUAAAAJ","Democratic governance: History, practice, reality and possibility","M Bevir","British Politics","6 (2), 273-283",2,2011,12783281237232144384,"-nhnvRiOwuoC"
"Mark Bevir","s5N2vJUAAAAJ","Response: interpretive social science and democratic theory","M Bevir","International Journal Of Organization Theory And Behavior","14 (4)",2,2011,14662155868666816512,"w9ZB08sdvuUC"
"Mark Bevir","s5N2vJUAAAAJ","Key Concepts in Governance Ed. 1","M Bevir","Sage",NA,2,2008,9084965456710855680,"yqZeyBDMhiUC"
"Mark Bevir","s5N2vJUAAAAJ","Authors","C Rhodes, M Bevir","Response: Politics As Cultural Practice’, Political Studies Review","6 (2), 170-7",2,2008,6818889309183222784,"vrnMIr82eJkC"
"Mark Bevir","s5N2vJUAAAAJ","Esotericism and modernity: An encounter with Leo Strauss","M Bevir","Journal Of The Philosophy Of History","1 (2), 201-218",2,2007,1.82150154561145e+37,"PkcyUWeTMh0C"
"Mark Bevir","s5N2vJUAAAAJ","Constructing the past: review symposium on Bevir's The Logic of the History of Ideas","M Bevir, M Erickson, A Harrington, A Reckwitz","History Of The Human Sciences","15 (2), 99-133",2,2002,1.07355697303183e+38,"LdasjJ6CEcoC"
"Mark Bevir","s5N2vJUAAAAJ","Political Theory after/Beyond Foucault","M Bevir","Post-Structuralism And Radical Politics Newsletter","4",2,2002,1452379355383160576,"0Kh4an1R61UC"
"Mark Bevir","s5N2vJUAAAAJ","On practices","M Bevir","Humanitas","14 (1), 117",2,2001,10921472088782905344,"iyewoVqAXLQC"
"Mark Bevir","s5N2vJUAAAAJ","Marxism and British socialism","M Bevir","The European Legacy","1 (2), 545-549",2,1996,873743494455039360,"PYBJJbyH-FwC"
"Mark Bevir","s5N2vJUAAAAJ","All you need is… a network: the rise of interpretive public administration","M Bevir, RAW Rhodes","Public Administration",NA,1,2022,193232311435039616,"7LLGAk_PBK4C"
"Mark Bevir","s5N2vJUAAAAJ","London: a city of humanism and power","M Bevir","Critical Review Of International Social And Political Philosophy","1-20",1,2021,14540090203755507712,"xUD2GqFNeDMC"
"Mark Bevir","s5N2vJUAAAAJ","Naturalism and Its Inadvertent Defenders","M Bevir, J Blakely","Critical Review","31 (3-4), 489-501",1,2019,11568481549120258048,"q82PccF7nXcC"
"Mark Bevir","s5N2vJUAAAAJ","Governance and modernist social science","M Bevir","Rethinking Governance: Ruling, Rationalities And Resistance","25-34",1,2016,4833170773432184832,"Ltc9rfRcsxEC"
"Mark Bevir","s5N2vJUAAAAJ","Anglophone Historicisms","M Bevir, N Choi","Journal Of The Philosophy Of History","9 (3), 327-346",1,2015,5858241965213670400,"QtA78RmWg5MC"
"Mark Bevir","s5N2vJUAAAAJ","Reply to critics","M Bevir","Comparative European Politics","10 (5), 634-641",1,2012,1.56921126252397e+38,"CB2v5VPnA5kC"
"Mark Bevir","s5N2vJUAAAAJ","Judicial Reform and Human Rights","M Bevir, R Maiman","The Blair Legacy","150-162",1,2009,15488283367079196672,"2l5NCbZemmgC"
"Mark Bevir","s5N2vJUAAAAJ","Socialism and Democracy: New Labour and the Constitution","M Bevir","Observatoire De La Société Britannique","21-45",1,2007,17591608992147228672,"cF7EPgIk0B4C"
"Mark Bevir","s5N2vJUAAAAJ","The Global Compact","R Wilkinson, M Bevir","The Encyclopedia Of Governance",NA,1,2007,4.476021511694e+18,"X41XOdD1uaEC"
"Michaela Mattes","8AcpSXsAAAAJ","Fostering peace after civil war: Commitment problems and agreement design","M Mattes, B Savun","International Studies Quarterly","53 (3), 737-759",319,2009,13403762566243704832,"u-x6o8ySG0sC"
"Michaela Mattes","8AcpSXsAAAAJ","Interests, institutions, and the reliability of international commitments","BA Leeds, M Mattes, JS Vogel","American Journal Of Political Science","53 (2), 461-476",204,2009,5.4374620989622e+38,"u5HHmVD_uO8C"
"Michaela Mattes","8AcpSXsAAAAJ","Information, agreement design, and the durability of civil war settlements","M Mattes, B Savun","American Journal Of Political Science","54 (2), 511-524",152,2010,16648486017242247168,"9yKSN-GCB0IC"
"Michaela Mattes","8AcpSXsAAAAJ","Leadership turnover and foreign policy change: Societal interests, domestic institutions, and voting in the United Nations","M Mattes, BA Leeds, R Carroll","International Studies Quarterly","59 (2), 280-290",117,2015,3.82057632797248e+38,"LkGwnXOMwfcC"
"Michaela Mattes","8AcpSXsAAAAJ","Autocracies and international cooperation","M Mattes, M Rodríguez","International Studies Quarterly","58 (3), 527-538",112,2014,6382800232155207680,"W7OEmFMy1HYC"
"Michaela Mattes","8AcpSXsAAAAJ","Reputation, symmetry, and alliance design","M Mattes","International Organization","66 (4), 679-707",94,2012,18100518340583845888,"Y0pCki6q_DkC"
"Michaela Mattes","8AcpSXsAAAAJ","Alliance politics during the Cold War: aberration, new world order, or continuation of history?","B Ashley Leeds, M Mattes","Conflict Management And Peace Science","24 (3), 183-199",88,2007,15506092267264057344,"d1gkVwhDpl0C"
"Michaela Mattes","8AcpSXsAAAAJ","Measuring change in source of leader support: The CHISOLS dataset","M Mattes, BA Leeds, N Matsumura","Journal Of Peace Research","53 (2), 259-267",63,2016,16550493734741200896,"0EnyYjriUFMC"
"Michaela Mattes","8AcpSXsAAAAJ","Democratic reliability, precommitment of successor governments, and the choice of alliance commitment","M Mattes","International Organization","66 (1), 153-172",51,2012,17039193983436767232,"qjMakFHDy7sC"
"Michaela Mattes","8AcpSXsAAAAJ","Hawks, doves, and peace: An experimental approach","M Mattes, JLP Weeks","American Journal Of Political Science","63 (1), 53-66",46,2019,3950298288984590336,"ULOm3_A8WrAC"
"Michaela Mattes","8AcpSXsAAAAJ","Contracting for Peace: Do Nonaggression Pacts Reduce Conflict?","M Mattes, G Vonnahme","The Journal Of Politics","72 (4), 925-938",43,2010,3176497987280948224,"UeHWp8X0CEIC"
"Michaela Mattes","8AcpSXsAAAAJ","The effect of changing conditions and agreement provisions on conflict and renegotiation between states with competing claims","M Mattes","International Studies Quarterly","52 (2), 315-334",31,2008,9535102381634168832,"2osOgNQ5qMEC"
"Michaela Mattes","8AcpSXsAAAAJ","When do they stop? Modeling the termination of war","M Mattes, TC Morgan","Conflict Management And Peace Science","21 (3), 179-193",23,2004,5768132947441870848,"IjCSPb-OGe4C"
"Michaela Mattes","8AcpSXsAAAAJ","“Chipping Away at the Issues” Piecemeal Dispute Resolution and Territorial Conflict","M Mattes","Journal Of Conflict Resolution","62 (1), 94-118",13,2018,11388921950755198976,"3fE2CSJIrl8C"
"Michaela Mattes","8AcpSXsAAAAJ","Policing Institutions and Post-Conflict Peace","LR Arriola, DA Dow, AM Matanock, M Mattes","Journal Of Conflict Resolution","65 (10), 1738-1763",3,2021,11743186955145641984,"qxL8FJ1GzNcC"
"Michaela Mattes","8AcpSXsAAAAJ","Domestic Political Institutions and Alliance Politics","M Mattes","Emerging Trends In The Social And Behavioral Sciences: An Interdisciplinary …",NA,1,2015,4484872253820751872,"UebtZRa9Y70C"
"Michaela Mattes","8AcpSXsAAAAJ","“Falling to peaces”: Conciliatory agreements and the durability of peace","M Mattes","Rice University",NA,1,2006,6903794199709991936,"YsMSGLbcyi4C"
"Paul Pierson","LnUkxkoAAAAJ","Increasing returns, path dependence, and the study of politics","P Pierson","American Political Science Review","94 (2), 251-267",9890,2000,6.51620718332613e+38,"u5HHmVD_uO8C"
"Paul Pierson","LnUkxkoAAAAJ","Politics in time","P Pierson","Princeton University Press",NA,8281,2011,10766954955420784640,"d1gkVwhDpl0C"
"Paul Pierson","LnUkxkoAAAAJ","Dismantling the welfare state?: Reagan, Thatcher and the politics of retrenchment","P Pierson","Cambridge University Press",NA,6301,1994,8.15448850769258e+58,"u-x6o8ySG0sC"
"Paul Pierson","LnUkxkoAAAAJ","The new politics of the welfare state","P Pierson","World Politics","48 (2), 143-179",6030,1996,3489496873866210304,"dBIO0h50nwkC"
"Paul Pierson","LnUkxkoAAAAJ","The path to European integration: a historical institutionalist analysis","P Pierson","Comparative Political Studies","29 (2), 123-163",2959,1996,2235104524238709248,"2osOgNQ5qMEC"
"Paul Pierson","LnUkxkoAAAAJ","When effect becomes cause: Policy feedback and political change","P Pierson","World Politics","45 (4), 595-628",2891,1993,6654546542962065408,"UeHWp8X0CEIC"
"Paul Pierson","LnUkxkoAAAAJ","Winner-take-all politics: How Washington made the rich richer--and turned its back on the middle class","JS Hacker, P Pierson","Simon And Schuster",NA,2369,2010,3512555718766345216,"_FxGoFyzp5QC"
"Paul Pierson","LnUkxkoAAAAJ","Historical institutionalism in contemporary political science","P Pierson, T Skocpol","W.W. Norton","3 (1), 1-32",1916,2002,1.8052585192617e+19,"Tyk-4Ss8FVUC"
"Paul Pierson","LnUkxkoAAAAJ","Coping with permanent austerity: welfare state restructuring in affluent democracies","P Pierson","Revue Française De Sociologie","369-406",1620,2002,1731050371482151680,"JoZmwDi-zQgC"
"Paul Pierson","LnUkxkoAAAAJ","The limits of design: Explaining institutional origins and change","P Pierson","Governance","13 (4), 475-499",1156,2000,17871556114734940160,"Y0pCki6q_DkC"
"Paul Pierson","LnUkxkoAAAAJ","European social policy: between fragmentation and integration","P Pierson","Brookings Institution Press",NA,954,1995,5.17714314102021e+56,"zYLM7Y9cAGgC"
"Paul Pierson","LnUkxkoAAAAJ","Not just what, but when: Timing and sequence in political processes","P Pierson","Studies In American Political Development","14 (1), 72-92",909,2000,8432101428124622848,"eQOLeE2rZwMC"
"Paul Pierson","LnUkxkoAAAAJ","Irresistible forces, immovable objects: post-industrial welfare states confront permanent austerity","P Pierson","Journal Of European Public Policy","5 (4), 539-560",890,1998,5667243772225759232,"YsMSGLbcyi4C"
"Paul Pierson","LnUkxkoAAAAJ","The Comparative Political Economy","J Myles, P Pierson","The New Politics Of The Welfare State","305-333",870,2001,10600358744277721088,"W7OEmFMy1HYC"
"Paul Pierson","LnUkxkoAAAAJ","Winner-take-all politics: Public policy, political organization, and the precipitous rise of top incomes in the United States","JS Hacker, P Pierson","Politics And Society","38 (2), 152-204",701,2010,8.74237815516067e+38,"3fE2CSJIrl8C"
"Paul Pierson","LnUkxkoAAAAJ","Off center","JS Hacker, P Pierson","Off Center",NA,627,2008,5226439441326616576,"LkGwnXOMwfcC"
"Paul Pierson","LnUkxkoAAAAJ","Big, slow-moving, and... invisible: Macrosocial processes in the study of comparative politics","P Pierson","Comparative Historical Analysis In The Social Sciences","177-207",617,2003,1424108233375456256,"ufrVoPGSRksC"
"Paul Pierson","LnUkxkoAAAAJ","Post-industrial pressures on the mature welfare states","P Pierson","The New Politics Of The Welfare State","1, 80-105",609,2001,6854307899235264512,"WF5omc3nYNoC"
"Paul Pierson","LnUkxkoAAAAJ","Fragmented welfare states: Federal institutions and the development of social policy","P Pierson","Governance","8 (4), 449-478",565,1995,12178041487839113216,"roLk4NBRz8UC"
"Paul Pierson","LnUkxkoAAAAJ","Business power and social policy: Employers and the formation of the American welfare state","JS Hacker, P Pierson","Politics And Society","30 (2), 277-325",555,2002,16921383506209523712,"UebtZRa9Y70C"
"Paul Pierson","LnUkxkoAAAAJ","Path dependence, increasing returns, and the study of politics","P Pierson","Harvard University Press",NA,493,1997,1.4632515140858e+19,"J-pR_7NvFogC"
"Paul Pierson","LnUkxkoAAAAJ","Three worlds of welfare state research","P Pierson","Comparative Political Studies","33 (6-7), 791-821",351,2000,1.1687483392396e+19,"Se3iqnhoufwC"
"Paul Pierson","LnUkxkoAAAAJ","Semisovereign welfare states: social policy in a multitiered Europe","S Leibfried, P Pierson","European Social Policy: Between Fragmentation And Integration","43-77",323,1995,16539265482781640704,"7BrZ7Jt4UNcC"
"Paul Pierson","LnUkxkoAAAAJ","Drift and conversion: Hidden faces of institutional change","JS Hacker, P Pierson, K Thelen","Advances In Comparative-Historical Analysis","180-208",267,2015,2871327457069515776,"BqipwSGYUEgC"
"Paul Pierson","LnUkxkoAAAAJ","After the “master theory”: Downs, Schattschneider, and the rebirth of policy-focused analysis","JS Hacker, P Pierson","Perspectives On Politics","12 (3), 643-662",264,2014,94486874889532000,"NhqRSupF_l8C"
"Paul Pierson","LnUkxkoAAAAJ","Public policies as institutions","P Pierson","Rethinking Political Institutions: The Art Of The State","114-31",250,2006,6341777776079173632,"ULOm3_A8WrAC"
"Paul Pierson","LnUkxkoAAAAJ","El institucionalismo histórico en la ciencia política contemporánea","P Pierson, T Skocpol","Revista Uruguaya De Ciencia Política","17 (1), 7-38",247,2008,1.3778619332038e+19,"dhFuZR0502QC"
"Paul Pierson","LnUkxkoAAAAJ","American amnesia: How the war on government led us to forget what made America prosper","JS Hacker, P Pierson","Simon And Schuster",NA,236,2017,3428871574959636480,"eflP2zaiRacC"
"Paul Pierson","LnUkxkoAAAAJ","Friedman's revenge: the reform of “liberal” welfare states in Canada and the United States","J Myles, P Pierson","Politics And Society","25 (4), 443-472",219,1997,16954201204247205888,"hqOjcs7Dif8C"
"Paul Pierson","LnUkxkoAAAAJ","Prospects for social Europe","S Leibfried, P Pierson","Politics And Society","20 (3), 333-366",198,1992,15033356154887225344,"5nxA0vEk-isC"
"Paul Pierson","LnUkxkoAAAAJ","Imposing losses in pension policy","P Pierson, RK Weaver","Do Institutions Matter","119, 137",187,1993,10429134553597308928,"0EnyYjriUFMC"
"Paul Pierson","LnUkxkoAAAAJ","The study of policy development","P Pierson","Journal Of Policy History","17 (1), 34-51",186,2005,12365137467362424832,"M3ejUd6NZC8C"
"Paul Pierson","LnUkxkoAAAAJ","Politics in Time: History","P Pierson","Institutions, And Social Analysis","2",185,2004,3002330453100121600,"9pM33mqn1YgC"
"Paul Pierson","LnUkxkoAAAAJ","Abandoning the middle: The Bush tax cuts and the limits of democratic control","JS Hacker, P Pierson","Perspectives On Politics","3 (1), 33-53",179,2005,10460615786100643840,"kNdYIx-mwKoC"
"Paul Pierson","LnUkxkoAAAAJ","The transformation of American politics: Activist government and the rise of conservatism","P Pierson, T Skocpol","Princeton University Press",NA,168,2007,10863553729297180672,"4TOpqqG69KYC"
"Paul Pierson","LnUkxkoAAAAJ","Introduction. Investigating the Welfare State at Centurys End","P Pierson","The New Politics Of The Welfare State","1-14",158,2001,17411183706705584128,"HtEfBTGE9r8C"
"Paul Pierson","LnUkxkoAAAAJ","Multitiered institutions and the making of social policy","P Pierson, S Leibfried","European Social Policy: Between Fragmentation And Integration","1-40",151,1995,11854599996169750528,"MXK_kJrjxJIC"
"Paul Pierson","LnUkxkoAAAAJ","The dynamics of social policy integration","P Pierson, S Leibfried","European Social Policy: Between Fragmentation And Integration","423-465",143,1995,6727336172843791360,"Zph67rFs4hoC"
"Paul Pierson","LnUkxkoAAAAJ","The welfare state over the very long run","P Pierson","Zes-Arbeitspapier",NA,125,2011,18305905105903620096,"HDshCWvjkbEC"
"Paul Pierson","LnUkxkoAAAAJ","Power and path dependence","P Pierson","Advances In Comparative-Historical Analysis","123-146",119,2015,9222469696880492544,"738O_yMBCRsC"
"Paul Pierson","LnUkxkoAAAAJ","“Policy feedbacks” and political change: Contrasting Reagan and Thatcher's pension-reform initiatives","P Pierson","Studies In American Political Development","6 (2), 359-390",94,1992,6434713842120330240,"qxL8FJ1GzNcC"
"Paul Pierson","LnUkxkoAAAAJ","Let them eat tweets: How the right rules in an age of extreme inequality","JS Hacker, P Pierson","Liveright Publishing",NA,90,2020,3498249593937564160,"Aul-kAQHnToC"
"Paul Pierson","LnUkxkoAAAAJ","American hybrid: Donald Trump and the strange merger of populism and plutocracy","P Pierson","The British Journal Of Sociology","68, S105-S119",84,2017,885394539978818560,"hkOj_22Ku90C"
"Paul Pierson","LnUkxkoAAAAJ","The costs of marginalization: Qualitative methods in the study of American politics","P Pierson","Comparative Political Studies","40 (2), 146-169",76,2007,3823138871326053888,"QIV2ME_5wuYC"
"Paul Pierson","LnUkxkoAAAAJ","From expansion to austerity: the new politics of taxing and spending","P Pierson","Seeking The Center: Politics And Policymaking At The New Century","54-80",69,2001,4054669391607110656,"W5xh706n7nkC"
"Paul Pierson","LnUkxkoAAAAJ","Increasing Returns","P Pierson","Path Dependence And The Study Of Politics, Jean Monnet Chair Papers","44",62,1997,11739226750800916480,"LO7wyVUgiFcC"
"Paul Pierson","LnUkxkoAAAAJ","Bourgeois revolutions? The policy consequences of resurgent conservatism","P Pierson, M Smith","Comparative Political Studies","25 (4), 487-520",62,1993,7291812305804072960,"aqlVkmm33-oC"
"Paul Pierson","LnUkxkoAAAAJ","The rise and reconfiguration of activist government","P Pierson","The Transformation Of American Politics: Activist Government And The Rise Of …",NA,61,2007,8393457334106690560,"ye4kPcJQO24C"
"Paul Pierson","LnUkxkoAAAAJ","Politiques sociales européennes: entre intégration et fragmentation","S Leibfried, P Pierson","Politiques Sociales Européennes","1-430",58,1998,16499861649766483968,"4DMP91E08xMC"
"Paul Pierson","LnUkxkoAAAAJ","Political science: State of the discipline","P Pierson, T Skocpol, I Katznelson, HV Milner","Historical Institutionalism In Contemporary Political Science",NA,54,2002,13059566952653164544,"XUvXOeBm_78C"
"Paul Pierson","LnUkxkoAAAAJ","Power in historical institutionalism","P Pierson","The Oxford Handbook Of Historical Institutionalism","124-141",50,2016,16531750139069771776,"D_sINldO8mEC"
"Paul Pierson","LnUkxkoAAAAJ","The politics of pension reform","P Pierson","Reform Of Retirement Income Policy: International And Canadian Perspectives …",NA,43,1997,14872998977217126400,"Wp0gIr-vW9MC"
"Paul Pierson","LnUkxkoAAAAJ","The deficit and the politics of domestic reform","P Pierson","The Social Divide: Political Parties And The Future Of Activist Government …",NA,42,1998,15406276261526618112,"4X0JR2_MtJMC"
"Paul Pierson","LnUkxkoAAAAJ","Confronting asymmetric polarization","JS Hacker, P Pierson","Solutions To Political Polarization In America","59, 66",39,2015,13727401035884924928,"XiSMed-E-HIC"
"Paul Pierson","LnUkxkoAAAAJ","Madison's constitution under stress: A developmental analysis of political polarization","P Pierson, E Schickler","Annual Review Of Political Science","23, 37-58",38,2020,4199750535461011456,"bKqednn6t2AC"
"Paul Pierson","LnUkxkoAAAAJ","Social policy and European integration","P Pierson","Centralization Or Fragmentation","124",38,1998,6070478953868537856,"sSrBHYA8nusC"
"Paul Pierson","LnUkxkoAAAAJ","The dog that almost barked: What the ACA repeal fight says about the resilience of the American Welfare State","JS Hacker, P Pierson","Journal Of Health Politics, Policy And Law","43 (4), 551-577",36,2018,3883329009831917568,"uJ-U7cs_P_0C"
"Paul Pierson","LnUkxkoAAAAJ","Varieties of capitalist interests and capitalist power: A response to Swenson","JS Hacker, P Pierson","Studies In American Political Development","18 (2), 186",34,2004,2747616527143209472,"qUcmZB5y_30C"
"Paul Pierson","LnUkxkoAAAAJ","Inequality generation & persistence as multidimensional processes: an interdisciplinary agenda","M Lamont, P Pierson","Daedalus","148 (3), 5-18",33,2019,15091220019806093312,"umqufdRvDiIC"
"Paul Pierson","LnUkxkoAAAAJ","“Superstar Cities” & the generation of durable inequality","P Le Galès, P Pierson","Daedalus","148 (3), 46-72",30,2019,7600710651047297024,"2VqYfGB8ITEC"
"Paul Pierson","LnUkxkoAAAAJ","Tax politics and the struggle over activist government","JS Hacker, P Pierson","The Transformation Of American Politics","256-280",28,2007,332838675719141120,"tH6gc1N1XXoC"
"Paul Pierson","LnUkxkoAAAAJ","Social policy","S Liebfried, P Pierson","Policy-Making In The European Union",NA,28,2000,11858681232252172288,"2tRrZ1ZAMYUC"
"Paul Pierson","LnUkxkoAAAAJ","The Creeping Nationalization of Income Transfers in the United States, 1935-94","P Pierson","European Social Policy: Between Fragmentation And Integration, Washington …",NA,27,1995,2490649005497940992,"Ak0FvsSvgGUC"
"Paul Pierson","LnUkxkoAAAAJ","Lo stato sociale nell'era dell'austerità permanente","P Pierson","Italian Political Science Review/Rivista Italiana Di Scienza Politica","29 (3 …",26,1999,9185289317984364544,"IWHjjKOFINEC"
"Paul Pierson","LnUkxkoAAAAJ","American Politics in the Long Run","P Pierson, T Skocpol","The Transformation Of American Politics: Activist Government And The Rise Of …",NA,25,2007,10473484312761176064,"e5wmG9Sq2KIC"
"Paul Pierson","LnUkxkoAAAAJ","Epilogue: From area studies to contextualized comparisons","P Pierson","Capitalism And Democracy In Central And Eastern Europe","353-366",24,2003,366875849956656896,"hC7cP41nSMkC"
"Paul Pierson","LnUkxkoAAAAJ","The Scope and Nature of Business Power Employers and the American Welfare State, 1900-1935","P Pierson","Zentrum Für Sozialpolitik",NA,24,1995,1167326178063291904,"L8Ckcad2t8MC"
"Paul Pierson","LnUkxkoAAAAJ","Presidents and the Political Economy: The Coalitional Foundations of Presidential Power","JS Hacker, P Pierson","Presidential Studies Quarterly","42 (1), 101-131",20,2012,9026256269218568192,"blknAaTinKkC"
"Paul Pierson","LnUkxkoAAAAJ","La nuova politica del welfare state: un'analisi comparata degli interventi restrittivi","P PIERSON, C Venzo","Stato E Mercato","3-50",19,1996,1654247520931214080,"5ugPr518TE4C"
"Paul Pierson","LnUkxkoAAAAJ","Winner-Take-All","J Hacker, P Pierson","Politics",NA,18,2010,1.1870607087067e+19,"anf4URPfarAC"
"Paul Pierson","LnUkxkoAAAAJ","Policy feedback in an age of polarization","JS Hacker, P Pierson","The Annals Of The American Academy Of Political And Social Science","685 (1), 8-28",17,2019,13408313254708711424,"9c2xU6iGI7YC"
"Paul Pierson","LnUkxkoAAAAJ","Rethinking political institutions: the art of the State","P Pierson, I Shapiro, S Skowronek, D Galvin","New York University Press","114-134",16,2006,4901225455709903872,"JQOojiI6XY0C"
"Paul Pierson","LnUkxkoAAAAJ","Winner-take-all politics and political science: a response","JS Hacker, P Pierson","Politics And Society","38 (2), 266-282",15,2010,15508176242549907456,"JV2RwH3_ST0C"
"Paul Pierson","LnUkxkoAAAAJ","Dr. Seuss and Dr. Stinchcombe: A reply to the commentaries","P Pierson","Studies In American Political Development","14 (1), 113-119",14,2000,9562344034344525824,"j3f4tGmQtD8C"
"Paul Pierson","LnUkxkoAAAAJ","Making America great again: The case for the mixed economy","JS Hacker, P Pierson","Foreign Affairs","95, 69",13,2016,864236081304983808,"mvPsJ3kp5DgC"
"Paul Pierson","LnUkxkoAAAAJ","Fragmented social policy: The European Union's social dimension in comparative perspective","S Leibfried, P Pierson","Washington, Dc: Brookings Inst. By University Of North Carolina-Chapel Hill …",NA,12,1995,7570531706354110464,"LgRImbQfgY4C"
"Paul Pierson","LnUkxkoAAAAJ","Die soziale Dimension der Europäischen Integration","S Leibfried, P Pierson","Zentrum F. Sozialpolitik",NA,11,1995,9873584729047459840,"mB3voiENLucC"
"Paul Pierson","LnUkxkoAAAAJ","Shifting fortunes of the elderly: The comparative politics of retrenchment","P Pierson, M Smith","Economic Security And Intergenerational Justice: A Look At North America","21-60",10,1994,2474498813751660544,"hFOr9nPyWt4C"
